Locus	Gene	Start	Length	Product	Allele Count	File
KP1_RS00715		150449	1047	polysaccharide chain length modulation protein	457	KP1_RS00715.fasta
KP1_RS00720		151597	1086	UDP-N-acetyl glucosamine 2-epimerase	513	KP1_RS00720.fasta
KP1_RS00725	wecC	152679	1263	UDP-N-acetyl-D-mannosamine dehydrogenase	786	KP1_RS00725.fasta
KP1_RS00745		156563	1131	"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase"	585	KP1_RS00745.fasta
KP1_RS00755		158942	1077	4-alpha-L-fucosyltransferase	791	KP1_RS00755.fasta
KP1_RS00760		160015	1347	enterobacterial common antigen polymerase	755	KP1_RS00760.fasta
KP1_RS00765		161373	741	lipopolysaccharide N-acetylmannosaminouronosyltransferase	509	KP1_RS00765.fasta
KP1_RS00770		162319	1386	amino acid permease	784	KP1_RS00770.fasta
KP1_RS00795		164525	174	hypothetical protein	104	KP1_RS00795.fasta
KP1_RS00800		164705	1197	protoheme IX biogenesis protein HemY	767	KP1_RS00800.fasta
KP1_RS00810		167108	741	uroporphyrinogen-III synthase	406	KP1_RS00810.fasta
KP1_RS00815		167845	942	hydroxymethylbilane synthase	543	KP1_RS00815.fasta
KP1_RS00820		169011	120	hypothetical protein	49	KP1_RS00820.fasta
KP1_RS00825		169144	2553	adenylate cyclase	1352	KP1_RS00825.fasta
KP1_RS00830		171745	321	iron donor protein CyaY	213	KP1_RS00830.fasta
KP1_RS00835		172212	204	membrane protein	130	KP1_RS00835.fasta
KP1_RS00840		172451	825	diaminopimelate epimerase	393	KP1_RS00840.fasta
KP1_RS00845		173272	708	DUF484 family protein	441	KP1_RS00845.fasta
KP1_RS00855		174878	717	flavin mononucleotide phosphatase	487	KP1_RS00855.fasta
KP1_RS00860		175658	2163	DNA-dependent helicase II	1179	KP1_RS00860.fasta
KP1_RS00870		178176	951	magnesium transporter CorA	546	KP1_RS00870.fasta
KP1_RS00875		179170	894	chloramphenicol resistance permease RarD	491	KP1_RS00875.fasta
KP1_RS00885		180729	861	phospholipase A	441	KP1_RS00885.fasta
KP1_RS00890		181657	1827	ATP-dependent DNA helicase RecQ	951	KP1_RS00890.fasta
KP1_RS00895		183545	621	threonine export protein RhtC	385	KP1_RS00895.fasta
KP1_RS00905	rhtB	185281	621	homoserine/homoserine lactone efflux protein	440	KP1_RS00905.fasta
KP1_RS00910		186011	993	lysophospholipase L2	556	KP1_RS00910.fasta
KP1_RS00915		187048	801	sugar/pyridoxal phosphate phosphatase YigL	469	KP1_RS00915.fasta
KP1_RS00925		188724	954	transcriptional regulator	504	KP1_RS00925.fasta
KP1_RS00930		189925	2265	5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase	1058	KP1_RS00930.fasta
KP1_RS00935		192248	813	carboxymethylenebutenolidase	540	KP1_RS00935.fasta
KP1_RS00940		193333	762	uridine phosphorylase	586	KP1_RS00940.fasta
KP1_RS00945		194230	1449	DNA recombination protein RmuC	841	KP1_RS00945.fasta
KP1_RS00950		195749	756	ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	343	KP1_RS00950.fasta
KP1_RS00955		196518	606	SCP2 domain-containing protein	401	KP1_RS00955.fasta
KP1_RS00960	ubiB	197120	1641	ubiquinone biosynthesis protein UbiB	790	KP1_RS00960.fasta
KP1_RS00965		198890	252	protein translocase TatA	76	KP1_RS00965.fasta
KP1_RS00970		199145	537	sec-independent translocase	218	KP1_RS00970.fasta
KP1_RS00975		199684	780	preprotein translocase subunit TatC	375	KP1_RS00975.fasta
KP1_RS00980		200508	792	DNase TatD	658	KP1_RS00980.fasta
KP1_RS00985		201296	489	transcriptional activator RfaH	300	KP1_RS00985.fasta
KP1_RS00990		201824	120	hypothetical protein	44	KP1_RS00990.fasta
KP1_RS00995		201963	1476	3-octaprenyl-4-hydroxybenzoate decarboxylase	794	KP1_RS00995.fasta
KP1_RS01000		203488	702	NAD(P)H-flavin reductase	371	KP1_RS01000.fasta
KP1_RS01005	fadA	204296	1164	3-ketoacyl-CoA thiolase	693	KP1_RS01005.fasta
KP1_RS01010		205469	2190	multifunctional fatty acid oxidation complex subunit alpha	1271	KP1_RS01010.fasta
KP1_RS01015		207850	1332	Xaa-Pro dipeptidase	737	KP1_RS01015.fasta
KP1_RS01020		209181	615	YigZ family protein	391	KP1_RS01020.fasta
KP1_RS01025		209834	1452	potassium transporter	643	KP1_RS01025.fasta
KP1_RS01030	hemG	211297	534	protoporphyrinogen oxidase	253	KP1_RS01030.fasta
KP1_RS01060		217887	1029	UDP-N-acetylenolpyruvoylglucosamine reductase	605	KP1_RS01060.fasta
KP1_RS01065		218912	963	bifunctional biotin--[acetyl-CoA-carboxylase] synthetase/biotin operon repressor	555	KP1_RS01065.fasta
KP1_RS01070		219900	951	type I pantothenate kinase	377	KP1_RS01070.fasta
KP1_RS01120		225994	498	50S ribosomal protein L10	164	KP1_RS01120.fasta
KP1_RS01125		226558	366	50S ribosomal protein L7/L12	145	KP1_RS01125.fasta
KP1_RS01130		227248	4029	DNA-directed RNA polymerase subunit beta	1912	KP1_RS01130.fasta
KP1_RS01135		231353	4224	DNA-directed RNA polymerase subunit beta'	1770	KP1_RS01135.fasta
KP1_RS01150		237681	306	PTS sugar transporter subunit IIB	146	KP1_RS01150.fasta
KP1_RS01155		238159	1533	sensor domain-containing diguanylate cyclase	1076	KP1_RS01155.fasta
KP1_RS01165		240008	1134	thiamine biosynthesis protein ThiH	799	KP1_RS01165.fasta
KP1_RS01170		241138	771	thiazole synthase	544	KP1_RS01170.fasta
KP1_RS01180		242094	756	molybdopterin biosynthesis protein MoeB	517	KP1_RS01180.fasta
KP1_RS01190		243477	1896	phosphomethylpyrimidine synthase ThiC	1174	KP1_RS01190.fasta
KP1_RS01195		245635	498	sigma D regulator	188	KP1_RS01195.fasta
KP1_RS01200	nudC	246226	774	NADH pyrophosphatase	453	KP1_RS01200.fasta
KP1_RS01205		247040	1065	uroporphyrinogen decarboxylase	717	KP1_RS01205.fasta
KP1_RS01210		248117	672	endonuclease V	385	KP1_RS01210.fasta
KP1_RS01215		248831	591	hypothetical protein	262	KP1_RS01215.fasta
KP1_RS01220		249608	273	transcriptional regulator	83	KP1_RS01220.fasta
KP1_RS01225		249893	696	membrane protein	409	KP1_RS01225.fasta
KP1_RS01230	zraP	250592	438	zinc resistance protein	323	KP1_RS01230.fasta
KP1_RS01250		253991	1296	phosphoribosylamine--glycine ligase	917	KP1_RS01250.fasta
KP1_RS01255		255302	1590	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase	949	KP1_RS01255.fasta
KP1_RS01290		263395	930	homoserine O-succinyltransferase	494	KP1_RS01290.fasta
KP1_RS01300		266266	1305	isocitrate lyase	755	KP1_RS01300.fasta
KP1_RS01310		269508	831	IclR family transcriptional regulator	488	KP1_RS01310.fasta
KP1_RS01320		274346	1632	membrane protein	984	KP1_RS01320.fasta
KP1_RS01330		276978	876	23S rRNA pseudouridine synthase F	696	KP1_RS01330.fasta
KP1_RS01335		277850	273	hypothetical protein	183	KP1_RS01335.fasta
KP1_RS01350		281421	1650	glucose-6-phosphate isomerase	852	KP1_RS01350.fasta
KP1_RS01390	malG	287989	891	maltose transporter permease	627	KP1_RS01390.fasta
KP1_RS01395	malF	288894	1545	maltose transporter membrane protein	812	KP1_RS01395.fasta
KP1_RS01400		290556	1191	maltose ABC transporter substrate-binding protein MalE	704	KP1_RS01400.fasta
KP1_RS01405		292117	1110	sugar ABC transporter ATP-binding protein	398	KP1_RS01405.fasta
KP1_RS01410	lamB	293310	1290	maltoporin	608	KP1_RS01410.fasta
KP1_RS01420		295825	498	chorismate--pyruvate lyase	268	KP1_RS01420.fasta
KP1_RS01425		296335	867	4-hydroxybenzoate octaprenyltransferase	516	KP1_RS01425.fasta
KP1_RS01430		297250	2424	glycerol-3-phosphate 1-O-acyltransferase	1241	KP1_RS01430.fasta
KP1_RS01435		299802	369	diacylglycerol kinase	201	KP1_RS01435.fasta
KP1_RS01440		300293	609	LexA repressor	283	KP1_RS01440.fasta
KP1_RS01455		302522	210	CsbD family protein	66	KP1_RS01455.fasta
KP1_RS01460		302826	516	transcriptional repressor	289	KP1_RS01460.fasta
KP1_RS01470		303591	489	hemolysin	301	KP1_RS01470.fasta
KP1_RS01480		305318	243	phage shock protein G	192	KP1_RS01480.fasta
KP1_RS01485		305743	984	quinone oxidoreductase	611	KP1_RS01485.fasta
KP1_RS01490		306896	1416	replicative DNA helicase	751	KP1_RS01490.fasta
KP1_RS01495		308343	1080	alanine racemase	800	KP1_RS01495.fasta
KP1_RS01500		309599	1194	aromatic amino acid aminotransferase	893	KP1_RS01500.fasta
KP1_RS01510		311827	417	thiamin phosphate synthase	257	KP1_RS01510.fasta
KP1_RS01515		312247	357	hypothetical protein	190	KP1_RS01515.fasta
KP1_RS01520		312604	2826	excinuclease ABC subunit A	1328	KP1_RS01520.fasta
KP1_RS01615		334672	1605	cyclic diguanylate phosphodiesterase	935	KP1_RS01615.fasta
KP1_RS01625		336675	459	transcriptional regulator	282	KP1_RS01625.fasta
KP1_RS01635		338450	1350	permease	773	KP1_RS01635.fasta
KP1_RS01640		339947	1647	Na+/H+ antiporter	869	KP1_RS01640.fasta
KP1_RS01645		341756	882	LysR family transcriptional regulator	627	KP1_RS01645.fasta
KP1_RS01690		349938	1653	cation acetate symporter	968	KP1_RS01690.fasta
KP1_RS01695		351590	312	membrane protein	151	KP1_RS01695.fasta
KP1_RS01705		352085	1959	acetyl-coenzyme A synthetase	1075	KP1_RS01705.fasta
KP1_RS01715		354456	1314	glutamate/aspartate:proton symporter GltP	658	KP1_RS01715.fasta
KP1_RS01720		355806	687	hypothetical protein	450	KP1_RS01720.fasta
KP1_RS01725		356722	1680	formate dehydrogenase subunit alpha	1264	KP1_RS01725.fasta
KP1_RS01730		358450	420	spermidine/putrescine ABC transporter substrate-binding protein	264	KP1_RS01730.fasta
KP1_RS01750		360994	942	ribose ABC transporter ATP-binding protein	683	KP1_RS01750.fasta
KP1_RS01755		361966	999	ribose ABC transporter permease	644	KP1_RS01755.fasta
KP1_RS01775		367392	759	phosphonate metabolism protein PhnP	632	KP1_RS01775.fasta
KP1_RS01780		368166	564	"ribose 1,5-bisphosphokinase"	381	KP1_RS01780.fasta
KP1_RS01785		368729	1137	phosphonate metabolism protein PhnM	886	KP1_RS01785.fasta
KP1_RS01805		372246	1065	carbon-phosphorus lyase complex subunit PhnI	762	KP1_RS01805.fasta
KP1_RS01825		375226	435	VOC family protein	344	KP1_RS01825.fasta
KP1_RS01830		375889	336	hypothetical protein	244	KP1_RS01830.fasta
KP1_RS01840		376769	1503	proline/betaine transporter	836	KP1_RS01840.fasta
KP1_RS01845		378321	939	transcriptional regulator MelR	806	KP1_RS01845.fasta
KP1_RS01850		379499	1353	alpha-glucosidase/alpha-galactosidase	1142	KP1_RS01850.fasta
KP1_RS01855		380945	1416	melibiose/sodium symporter	1100	KP1_RS01855.fasta
KP1_RS01865		382636	957	recombinase	700	KP1_RS01865.fasta
KP1_RS01875		384968	306	chaperone-modulator protein CbpM	235	KP1_RS01875.fasta
KP1_RS01880		385273	918	curved DNA-binding protein	632	KP1_RS01880.fasta
KP1_RS01900		387245	786	DSBA oxidoreductase	572	KP1_RS01900.fasta
KP1_RS01915	pgaB	389846	2016	"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB"	1417	KP1_RS01915.fasta
KP1_RS01935		395830	291	PerC transcriptional activator	232	KP1_RS01935.fasta
KP1_RS01955		397267	2088	hypothetical protein	1338	KP1_RS01955.fasta
KP1_RS01960		399422	576	transcriptional regulator	324	KP1_RS01960.fasta
KP1_RS01975		402253	1302	C4-dicarboxylate ABC transporter	790	KP1_RS01975.fasta
KP1_RS01980		403670	1437	aspartate ammonia-lyase	829	KP1_RS01980.fasta
KP1_RS01985		405131	159	peptidase	69	KP1_RS01985.fasta
KP1_RS01990		405444	477	membrane protein FxsA	358	KP1_RS01990.fasta
KP1_RS01995		405971	1251	L-methionine/branched-chain amino acid transporter	969	KP1_RS01995.fasta
KP1_RS02005	groES	407454	294	molecular chaperone GroES	133	KP1_RS02005.fasta
KP1_RS02010		407785	1647	molecular chaperone GroEL	1239	KP1_RS02010.fasta
KP1_RS02065		421345	1029	EF-P beta-lysylation protein EpmB	837	KP1_RS02065.fasta
KP1_RS02070		422415	567	elongation factor P	347	KP1_RS02070.fasta
KP1_RS02075		423055	132	entericidin A	116	KP1_RS02075.fasta
KP1_RS02080		423346	147	entericidin B	46	KP1_RS02080.fasta
KP1_RS02085		423636	318	multidrug transporter	197	KP1_RS02085.fasta
KP1_RS02090		423950	534	hypothetical protein	442	KP1_RS02090.fasta
KP1_RS02095		424597	360	fumarate reductase subunit D	259	KP1_RS02095.fasta
KP1_RS02100		424967	396	fumarate reductase subunit C	274	KP1_RS02100.fasta
KP1_RS02110		426100	1791	fumarate reductase flavoprotein subunit	1101	KP1_RS02110.fasta
KP1_RS02115		428166	978	elongation factor P--(R)-beta-lysine ligase	513	KP1_RS02115.fasta
KP1_RS02125		430867	3330	miniconductance mechanosensitive channel MscM	1588	KP1_RS02125.fasta
KP1_RS02130		434220	963	phosphatidylserine decarboxylase proenzyme	616	KP1_RS02130.fasta
KP1_RS02135		435343	1062	ribosome small subunit-dependent GTPase	542	KP1_RS02135.fasta
KP1_RS02140		436499	546	oligoribonuclease	306	KP1_RS02140.fasta
KP1_RS02145		437088	732	arginine ABC transporter substrate-binding protein	459	KP1_RS02145.fasta
KP1_RS02150		437844	201	hypothetical protein	154	KP1_RS02150.fasta
KP1_RS02170		438752	1140	tRNA epoxyqueuosine(34) reductase QueG	786	KP1_RS02170.fasta
KP1_RS02175		439890	1527	bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	1198	KP1_RS02175.fasta
KP1_RS02200		446148	309	RNA-binding protein Hfq	109	KP1_RS02200.fasta
KP1_RS02205		446532	1281	GTPase HflX	604	KP1_RS02205.fasta
KP1_RS02210		447878	1263	protease modulator HflK	599	KP1_RS02210.fasta
KP1_RS02215		449143	1005	protease modulator HflC	487	KP1_RS02215.fasta
KP1_RS02220		450230	291	hypothetical protein	251	KP1_RS02220.fasta
KP1_RS02235		451043	1299	adenylosuccinate synthetase	891	KP1_RS02235.fasta
KP1_RS02240		452492	426	transcriptional regulator	189	KP1_RS02240.fasta
KP1_RS02245		452954	2433	exoribonuclease R	1269	KP1_RS02245.fasta
KP1_RS02250		455468	732	23S rRNA (guanosine(2251)-2'-O)-methyltransferase	393	KP1_RS02250.fasta
KP1_RS02320		467702	276	membrane protein	182	KP1_RS02320.fasta
KP1_RS02325		468318	396	30S ribosomal protein S6	131	KP1_RS02325.fasta
KP1_RS02330		468719	315	primosomal replication protein N	179	KP1_RS02330.fasta
KP1_RS02335		469038	228	30S ribosomal protein S18	54	KP1_RS02335.fasta
KP1_RS02340		469307	450	50S ribosomal protein L9	194	KP1_RS02340.fasta
KP1_RS02345		469865	675	hypothetical protein	566	KP1_RS02345.fasta
KP1_RS02350		470758	621	peptidylprolyl isomerase	439	KP1_RS02350.fasta
KP1_RS02355		471683	1404	D-serine/D-alanine/glycine transporter	843	KP1_RS02355.fasta
KP1_RS02360		473229	663	iron-sulfur cluster repair protein YtfE	567	KP1_RS02360.fasta
KP1_RS02365		473974	972	membrane protein	786	KP1_RS02365.fasta
KP1_RS02370		475021	825	AraC family transcriptional regulator	741	KP1_RS02370.fasta
KP1_RS02380		476861	372	HxlR family transcriptional regulator	267	KP1_RS02380.fasta
KP1_RS02385		477287	1944	3'-nucleotidase	1436	KP1_RS02385.fasta
KP1_RS02390		479422	744	"3'(2'),5'-bisphosphate nucleotidase CysQ"	568	KP1_RS02390.fasta
KP1_RS02400		481036	207	hypothetical protein	95	KP1_RS02400.fasta
KP1_RS02410		481505	1338	membrane protein	755	KP1_RS02410.fasta
KP1_RS02415		483023	639	peptide-methionine (S)-S-oxide reductase	480	KP1_RS02415.fasta
KP1_RS02420		483870	1734	outer membrane protein assembly factor	1175	KP1_RS02420.fasta
KP1_RS02425		485600	3777	translocation/assembly module TamB	1930	KP1_RS02425.fasta
KP1_RS02430		489379	345	gamma-glutamylcyclotransferase	102	KP1_RS02430.fasta
KP1_RS02440		490103	531	inorganic pyrophosphatase	338	KP1_RS02440.fasta
KP1_RS02445		491037	957	sugar ABC transporter substrate-binding protein	614	KP1_RS02445.fasta
KP1_RS02455		492117	1503	sugar ABC transporter ATP-binding protein	1183	KP1_RS02455.fasta
KP1_RS02460		493630	1026	sugar ABC transporter permease	756	KP1_RS02460.fasta
KP1_RS02470		495683	999	"fructose 1,6-bisphosphatase"	489	KP1_RS02470.fasta
KP1_RS02475		496857	1374	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase	900	KP1_RS02475.fasta
KP1_RS02485		498870	1209	DUF4432 domain-containing protein	1127	KP1_RS02485.fasta
KP1_RS02495		501219	552	hypothetical protein	332	KP1_RS02495.fasta
KP1_RS02500		501866	1353	metalloprotease PmbA	968	KP1_RS02500.fasta
KP1_RS02505		503255	387	cytochrome B562	249	KP1_RS02505.fasta
KP1_RS02515		503949	321	glycine dehydrogenase	179	KP1_RS02515.fasta
KP1_RS02520		504280	363	hypothetical protein	230	KP1_RS02520.fasta
KP1_RS02525		504645	300	hypothetical protein	171	KP1_RS02525.fasta
KP1_RS02530		504966	777	membrane protein	662	KP1_RS02530.fasta
KP1_RS02535		505756	645	membrane protein	494	KP1_RS02535.fasta
KP1_RS02540		506506	1134	dihydroorotase	963	KP1_RS02540.fasta
KP1_RS02550		508738	741	2-dehydro-3-deoxyphosphooctonate aldolase	765	KP1_RS02550.fasta
KP1_RS02555		509545	1155	6-phosphogluconolactonase	1049	KP1_RS02555.fasta
KP1_RS02560		510722	1911	transcription antiterminator BglG	1440	KP1_RS02560.fasta
KP1_RS02575		513230	465	anaerobic ribonucleotide reductase-activating protein	596	KP1_RS02575.fasta
KP1_RS02580		514023	2139	anaerobic ribonucleoside triphosphate reductase	1387	KP1_RS02580.fasta
KP1_RS02615		520663	1656	glucohydrolase	1214	KP1_RS02615.fasta
KP1_RS02620		522370	1419	PTS trehalose transporter subunit IIBC	1097	KP1_RS02620.fasta
KP1_RS02625		523919	948	trehalose operon repressor	766	KP1_RS02625.fasta
KP1_RS02630		525246	2709	magnesium-translocating P-type ATPase	1662	KP1_RS02630.fasta
KP1_RS02640		528567	462	aspartate carbamoyltransferase regulatory subunit	355	KP1_RS02640.fasta
KP1_RS02645		529042	936	aspartate carbamoyltransferase	620	KP1_RS02645.fasta
KP1_RS02650		530313	453	hypothetical protein	590	KP1_RS02650.fasta
KP1_RS02655		530827	1005	ornithine carbamoyltransferase subunit F	659	KP1_RS02655.fasta
KP1_RS02660		531995	423	RNase E inhibitor protein	207	KP1_RS02660.fasta
KP1_RS02665		532476	765	tRNA-(ms[2]io[6]A)-hydroxylase	723	KP1_RS02665.fasta
KP1_RS02675		533934	2856	valine--tRNA ligase	1851	KP1_RS02675.fasta
KP1_RS02680		536789	444	DNA polymerase III subunit chi	276	KP1_RS02680.fasta
KP1_RS02685		537352	1512	cytosol aminopeptidase	1128	KP1_RS02685.fasta
KP1_RS02690		539253	1098	LPS export ABC transporter permease LptF	732	KP1_RS02690.fasta
KP1_RS02695		540350	1083	LPS export ABC transporter permease LptG	738	KP1_RS02695.fasta
KP1_RS02700		541481	1503	hypothetical protein	1227	KP1_RS02700.fasta
KP1_RS02705		543082	822	hypothetical protein	828	KP1_RS02705.fasta
KP1_RS02715		544256	1506	methylmalonate-semialdehyde dehydrogenase (acylating)	1196	KP1_RS02715.fasta
KP1_RS02720		545780	810	5-deoxy-glucuronate isomerase	965	KP1_RS02720.fasta
KP1_RS02740		548417	858	(Fe-S)-cluster assembly protein	897	KP1_RS02740.fasta
