Locus	Gene	Start	Length	Product	Allele Count	Alleles
b0073	leuB	80867	1092	3-isopropylmalate dehydrogenase, NAD(+)-dependent	1678	b0073.fasta
b0074	leuA	81958	1572	2-isopropylmalate synthase	1820	b0074.fasta
b0075	leuL	83622	87	leu operon leader peptide	131	b0075.fasta
b0076	leuO	84368	945	global transcription factor	1163	b0076.fasta
b0077	ilvI	85630	1725	acetolactate synthase 3 large subunit	2209	b0077.fasta
b0078	ilvH	87357	492	acetolactate synthase 3, small subunit, valine-sensitive	761	b0078.fasta
b0080	cra	88028	1005	transcriptional repressor-activator for carbon metabolism	1170	b0080.fasta
b0081	mraZ	89634	459	RsmH methytransferase inhibitor	557	b0081.fasta
b0082	rsmH	90094	942	16S rRNA m(4)C1402 methyltransferase, SAM-dependent	1308	b0082.fasta
b0083	ftsL	91032	366	membrane bound cell division leucine zipper septum protein	425	b0083.fasta
b0084	ftsI	91413	1767	transpeptidase involved in septal peptidoglycan synthesis; penicillin-binding protein 3	2147	b0084.fasta
b0085	murE	93166	1488	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso- diaminopimelate ligase	1972	b0085.fasta
b0086	murF	94650	1359	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase	1713	b0086.fasta
b0087	mraY	96002	1083	phospho-N-acetylmuramoyl-pentapeptide transferase	1410	b0087.fasta
b0088	murD	97087	1317	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	1730	b0088.fasta
b0089	ftsW	98403	1245	putative lipid II flippase; integral membrane protein; FtsZ ring stabilizer	1361	b0089.fasta
b0090	murG	99644	1068	N-acetylglucosaminyl transferase	1323	b0090.fasta
b0091	murC	100765	1476	UDP-N-acetylmuramate:L-alanine ligase	1721	b0091.fasta
b0092	ddlB	102233	921	D-alanine:D-alanine ligase	1269	b0092.fasta
b0093	ftsQ	103155	831	divisome assembly protein, membrane anchored protein involved in growth of wall at septum	960	b0093.fasta
b0094	ftsA	103982	1263	ATP-binding cell division FtsK recruitment protein	1290	b0094.fasta
b0095	ftsZ	105305	1152	GTP-binding tubulin-like cell division protein	1279	b0095.fasta
b0096	lpxC	106557	918	UDP-3-O-acyl N-acetylglucosamine deacetylase	1205	b0096.fasta
b0097	secM	107705	513	regulator of secA translation	658	b0097.fasta
b0098	secA	108279	2706	preprotein translocase subunit, ATPase	2572	b0098.fasta
b0101	yacG	111649	198	DNA gyrase inhibitor	227	b0101.fasta
b0102	zapD	111856	744	FtsZ stabilizer	923	b0102.fasta
b0103	coaE	112599	621	dephospho-CoA kinase	826	b0103.fasta
b0104	guaC	113444	1044	GMP reductase	1271	b0104.fasta
b0106	hofC	114522	1203	assembly protein in type IV pilin biogenesis, transmembrane protein	1568	b0106.fasta
b0108	ppdD	117109	441	putative prepilin peptidase-dependent pilin	681	b0108.fasta
b0109	nadC	117752	894	quinolinate phosphoribosyltransferase	1180	b0109.fasta
b0110	ampD	118733	552	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	663	b0110.fasta
b0111	ampE	119281	855	ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation	1255	b0111.fasta
b0112	aroP	120178	1374	aromatic amino acid transporter	1434	b0112.fasta
b0113	pdhR	122092	765	pyruvate dehydrogenase complex repressor; autorepressor	887	b0113.fasta
b0114	aceE	123017	2664	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	2611	b0114.fasta
b0115	aceF	125695	1893	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	2244	b0115.fasta
b0116	lpd	127912	1425	dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase	1693	b0116.fasta
b0118	acnB	131615	2598	aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase	3031	b0118.fasta
b0119	yacL	134388	363	UPF0231 family protein	607	b0119.fasta
b0120	speD	134788	795	S-adenosylmethionine decarboxylase	936	b0120.fasta
b0121	speE	135598	867	spermidine synthase (putrescine aminopropyltransferase)	967	b0121.fasta
b0122	yacC	136570	348	PulS_OutS family protein	469	b0122.fasta
b0123	cueO	137083	1551	multicopper oxidase (laccase)	1957	b0123.fasta
b0125	hpt	141431	537	hypoxanthine phosphoribosyltransferase	752	b0125.fasta
b0126	can	142008	663	carbonic anhydrase	777	b0126.fasta
b0127	yadG	142779	927	putative ABC transporter ATPase	1236	b0127.fasta
b0128	yadH	143702	771	putative ABC transporter permease	1109	b0128.fasta
b0129	yadI	144577	441	putative PTS Enzyme IIA	589	b0129.fasta
b0130	yadE	145081	1230	putative polysaccharide deacetylase lipoprotein	1651	b0130.fasta
b0131	panD	146314	381	aspartate 1-decarboxylase	574	b0131.fasta
b0133	panC	147944	852	pantothenate synthetase	1246	b0133.fasta
b0134	panB	148807	795	3-methyl-2-oxobutanoate hydroxymethyltransferase	1228	b0134.fasta
b0142	folK	157253	480	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	535	b0142.fasta
b0143	pcnB	157729	1398	poly(A) polymerase	1703	b0143.fasta
b0144	gluQ	159186	927	glutamyl-Q tRNA(Asp) synthetase	1127	b0144.fasta
b0145	dksA	160149	456	transcriptional regulator of rRNA transcription; DnaK suppressor protein	413	b0145.fasta
b0146	sfsA	160782	705	sugar fermentation stimulation protein A	838	b0146.fasta
b0147	ligT	161501	531	2'-5' RNA ligase	805	b0147.fasta
b0148	hrpB	162105	2430	putative ATP-dependent helicase	3166	b0148.fasta
b0149	mrcB	164730	2535	fused glycosyl transferase and transpeptidase	2407	b0149.fasta
b0151	fhuC	169778	798	iron(3+)-hydroxamate import ABC transporter ATPase	1231	b0151.fasta
b0152	fhuD	170575	891	iron(3+)-hydroxamate import ABC transporter periplasmic binding protein	1266	b0152.fasta
b0153	fhuB	171462	1983	iron(3+)-hydroxamate import ABC transporter permease	2659	b0153.fasta
b0154	hemL	173602	1281	glutamate-1-semialdehyde aminotransferase (aminomutase)	1647	b0154.fasta
b0155	clcA	175107	1422	H(+)/Cl(-) exchange transporter	1561	b0155.fasta
b0156	erpA	176610	345	iron-sulfur cluster insertion protein	463	b0156.fasta
b0157	yadS	177001	624	UPF0126 family inner membrane protein	889	b0157.fasta
b0158	btuF	177662	801	vitamin B12 ABC transporter periplasmic binding protein	1084	b0158.fasta
b0159	mtn	178455	699	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	955	b0159.fasta
b0161	degP	180884	1425	serine endoprotease (protease Do), membrane-associated	1600	b0161.fasta
b0162	cdaR	182463	1158	carbohydrate diacid regulon transcriptional regulator; autoregulator	1727	b0162.fasta
b0163	yaeH	183709	387	UPF0325 family protein	537	b0163.fasta
b0166	dapD	185123	825	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	1166	b0166.fasta
b0167	glnD	185978	2673	uridylyltransferase	2486	b0167.fasta
b0168	map	188712	795	methionine aminopeptidase	956	b0168.fasta
b0169	rpsB	189874	726	30S ribosomal subunit protein S2	589	b0169.fasta
b0170	tsf	190857	852	translation elongation factor EF-Ts	884	b0170.fasta
b0171	pyrH	191855	726	uridylate kinase	688	b0171.fasta
b0172	frr	192872	558	ribosome recycling factor	608	b0172.fasta
b0173	dxr	193521	1197	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1263	b0173.fasta
b0174	ispU	194903	762	undecaprenyl pyrophosphate synthase	637	b0174.fasta
b0175	cdsA	195677	858	CDP-diglyceride synthase	1064	b0175.fasta
b0176	rseP	196546	1353	inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease	1587	b0176.fasta
b0177	bamA	197928	2433	BamABCDE complex OM biogenesis outer membrane pore-forming assembly factor	1937	b0177.fasta
b0178	skp	200482	486	periplasmic chaperone	507	b0178.fasta
b0179	lpxD	200971	1026	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	1113	b0179.fasta
b0180	fabZ	202101	456	(3R)-hydroxymyristol acyl carrier protein dehydratase	461	b0180.fasta
b0181	lpxA	202560	789	UDP-N-acetylglucosamine acetyltransferase	971	b0181.fasta
b0182	lpxB	203348	1149	tetraacyldisaccharide-1-P synthase	1515	b0182.fasta
b0183	rnhB	204493	597	ribonuclease HII, degrades RNA of DNA-RNA hybrids	829	b0183.fasta
b0184	dnaE	205126	3483	DNA polymerase III alpha subunit	3103	b0184.fasta
b0185	accA	208621	960	acetyl-CoA carboxylase, carboxytransferase, alpha subunit	1191	b0185.fasta
b0187	yaeR	211877	390	putative lyase	592	b0187.fasta
b0189	rof	213678	255	modulator of Rho-dependent transcription termination	406	b0189.fasta
b4406	yaeP	213925	201	UPF0253 family protein	200	b4406.fasta
b0190	yaeQ	214291	546	PDDEXK superfamily protein	897	b0190.fasta
b0191	arfB	214833	423	alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached	566	b0191.fasta
b0192	nlpE	215269	711	lipoprotein involved with copper homeostasis and adhesion	971	b0192.fasta
b0194	proS	217057	1719	prolyl-tRNA synthetase	1744	b0194.fasta
b0195	tsaA	218887	708	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent	1098	b0195.fasta
b0196	rcsF	219591	405	putative outer membrane protein	544	b0196.fasta
b0197	metQ	220113	816	DL-methionine transporter subunit	1107	b0197.fasta
b0198	metI	220968	654	DL-methionine transporter subunit	964	b0198.fasta
b0199	metN	221614	1032	DL-methionine transporter subunit	1420	b0199.fasta
b0209	yafD	231122	801	endo/exonuclease/phosphatase family protein	964	b0209.fasta
b0211	mltD	232597	1359	putative membrane-bound lytic murein transglycosylase D	1527	b0211.fasta
b0212	gloB	234027	756	hydroxyacylglutathione hydrolase	1390	b0212.fasta
b0213	yafS	234816	723	putative S-adenosyl-L-methionine-dependent methyltransferase	903	b0213.fasta
b0214	rnhA	235535	468	ribonuclease HI, degrades RNA of DNA-RNA hybrids	613	b0214.fasta
b0215	dnaQ	236067	732	DNA polymerase III epsilon subunit	971	b0215.fasta
b0220	ivy	240343	474	inhibitor of c-type lysozyme, periplasmic	596	b0220.fasta
b0221	fadE	240859	2445	acyl coenzyme A dehydrogenase	2685	b0221.fasta
b0222	gmhA	243543	579	D-sedoheptulose 7-phosphate isomerase	865	b0222.fasta
b0223	yafJ	244327	768	type 2 glutamine amidotransferase family protein	1062	b0223.fasta
b0224	yafK	245065	741	L,D-transpeptidase-related protein	878	b0224.fasta
b0231	dinB	250898	1056	DNA polymerase IV	1465	b0231.fasta
b0234	yafP	252709	453	GNAT family putative N-acetyltransferase	753	b0234.fasta
b0237	pepD	254259	1458	aminoacyl-histidine dipeptidase (peptidase D)	1830	b0237.fasta
b0238	gpt	255977	459	xanthine phosphoribosyltransferase; xanthine-guanine phosphoribosyltransferase	660	b0238.fasta
b0239	frsA	256527	1245	fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity	1589	b0239.fasta
b0241	phoE	259045	1056	outer membrane phosphoporin protein E	1605	b0241.fasta
b0242	proB	260388	1104	gamma-glutamate kinase	1405	b0242.fasta
b0243	proA	261503	1254	gamma-glutamylphosphate reductase	1612	b0243.fasta
ECs0267		295716	402	DNA-binding transcriptional regulator Crl	541	ECs0267.fasta
b0366	tauB	386207	768	taurine ABC transporter ATPase	1378	b0366.fasta
b0367	tauC	386971	828	taurine ABC transporter permease	1503	b0367.fasta
b0368	tauD	387795	852	taurine dioxygenase, 2-oxoglutarate-dependent	1464	b0368.fasta
b0369	hemB	388753	975	5-aminolevulinate dehydratase (porphobilinogen synthase)	1204	b0369.fasta
b0375	yaiV	394506	624	putative transcriptional regulator	924	b0375.fasta
b0376	ampH	395130	1158	D-alanyl-D-alanine- carboxypeptidase/endopeptidase; penicillin-binding protein; weak beta-lactamase	1491	b0376.fasta
b0377	sbmA	396639	1221	peptide antibiotic transporter	1813	b0377.fasta
b0378	yaiW	397872	1095	microcin Bac7 uptake protein; outer membrane surface-exposed lipoprotein	1431	b0378.fasta
b0379	yaiY	399025	309	DUF2755 family inner membrane protein	331	b0379.fasta
b0380	yaiZ	399593	213	DUF2754 family putative inner membrane protein	253	b0380.fasta
b0381	ddlA	399829	1095	D-alanine-D-alanine ligase A	1347	b0381.fasta
b0382	iraP	401386	261	anti-RssB factor, RpoS stabilzer during Pi starvation; anti-adapter protein	307	b0382.fasta
b0383	phoA	401747	1416	bacterial alkaline phosphatase	1890	b0383.fasta
b0384	psiF	403281	321	PsiF family protein	555	b0384.fasta
b0386	proC	404835	810	pyrroline-5-carboxylate reductase, NAD(P)-binding	1169	b0386.fasta
b0388	aroL	406405	525	shikimate kinase II	587	b0388.fasta
b0389	yaiA	406979	192	OxyR-regulated conserved protein	250	b0389.fasta
b0390	aroM	407428	678	AroM family protein	826	b0390.fasta
b0391	yaiE	408177	285	UPF0345 family protein	481	b0391.fasta
b0393	rdgC	409108	912	nucleoid-associated ssDNA and dsDNA binding protein; competitive inhibitor of RecA function	1308	b0393.fasta
b0394	mak	410144	909	manno(fructo)kinase	1557	b0394.fasta
b0397	sbcC	412607	3147	exonuclease, dsDNA, ATP-dependent	3209	b0397.fasta
b0398	sbcD	415750	1203	exonuclease, dsDNA, ATP-dependent	1588	b0398.fasta
b0399	phoB	417142	690	response regulator in two-component regulatory system with PhoR	1009	b0399.fasta
b0400	phoR	417889	1296	sensory histidine kinase in two-component regulatory system with PhoB	1691	b0400.fasta
b0401	brnQ	419591	1320	branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val	1571	b0401.fasta
b0402	proY	420986	1374	proline-specific permease	1499	b0402.fasta
b0403	malZ	422518	1815	maltodextrin glucosidase	2433	b0403.fasta
b0404	acpH	424337	582	acyl carrier protein (ACP) phosphodiesterase; ACP hydrolyase	744	b0404.fasta
b0405	queA	425011	1071	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	1340	b0405.fasta
b0406	tgt	426137	1128	tRNA-guanine transglycosylase	1173	b0406.fasta
b0407	yajC	427287	333	SecYEG protein translocase auxillary subunit	365	b0407.fasta
b0408	secD	427647	1848	SecYEG protein translocase auxillary subunit	1915	b0408.fasta
b0409	secF	429505	972	SecYEG protein translocase auxillary subunit	1283	b0409.fasta
b0410	yajD	430605	348	HNH nuclease family protein	572	b0410.fasta
b0411	tsx	431129	885	nucleoside channel, receptor of phage T6 and colicin K	1051	b0411.fasta
b0413	nrdR	433002	450	Nrd regulon repressor	585	b0413.fasta
b0414	ribD	433455	1104	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase	1598	b0414.fasta
b0415	ribE	434647	471	riboflavin synthase beta chain	525	b0415.fasta
b0416	nusB	435137	420	transcription antitermination protein	456	b0416.fasta
b0417	thiL	435634	978	thiamine monophosphate kinase	1325	b0417.fasta
b0419	yajO	437161	975	2-carboxybenzaldehyde reductase	1635	b0419.fasta
b0420	dxs	438315	1863	1-deoxyxylulose-5-phosphate synthase, thiamine triphosphate-binding, FAD-requiring	2021	b0420.fasta
b0421	ispA	440202	900	geranyltranstransferase	1203	b0421.fasta
b0422	xseB	441101	243	exonuclease VII small subunit	333	b0422.fasta
b0423	thiI	441549	1449	tRNA s(4)U8 sulfurtransferase	1792	b0423.fasta
b0424	yajL	443051	591	oxidative-stress-resistance chaperone	1065	b0424.fasta
b0425	panE	443604	912	2-dehydropantoate reductase, NADPH-specific	1336	b0425.fasta
b0426	yajQ	444683	492	phage Phi6 host factor, ATP/GTP binding protein	797	b0426.fasta
b0428	cyoE	446815	891	protoheme IX farnesyltransferase	995	b0428.fasta
b0429	cyoD	447717	330	cytochrome o ubiquinol oxidase subunit IV	425	b0429.fasta
b0430	cyoC	448046	615	cytochrome o ubiquinol oxidase subunit III	843	b0430.fasta
b0431	cyoB	448650	1992	cytochrome o ubiquinol oxidase subunit I	2015	b0431.fasta
b0433	ampG	452070	1476	muropeptide transporter	1864	b0433.fasta
b0434	yajG	453589	579	putative lipoprotein	799	b0434.fasta
b0435	bolA	454472	318	stationary-phase morphogene, transcriptional repressor for mreB; also regulator for dacA, dacC, and ampC	316	b0435.fasta
b0436	tig	455133	1299	peptidyl-prolyl cis/trans isomerase (trigger factor)	1614	b0436.fasta
b0437	clpP	456677	624	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	642	b0437.fasta
b0438	clpX	457426	1275	ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	1398	b0438.fasta
b0439	lon	458888	2355	DNA-binding ATP-dependent protease La	2333	b0439.fasta
b0441	ppiD	461915	1872	periplasmic folding chaperone, has an inactive PPIase domain	2145	b0441.fasta
b0443	fadM	464402	399	long-chain acyl-CoA thioesterase III	622	b0443.fasta
b0444	queC	464852	696	7-cyano-7-deazaguanine (preQ0) synthase; queuosine biosynthesis	1068	b0444.fasta
b0445	ybaE	465612	1701	putative ABC transporter periplasmic binding protein	2199	b0445.fasta
b0446	cof	467412	819	thiamine pyrimidine pyrophosphate hydrolase; HMP-PP phosphatase	1237	b0446.fasta
b0447	ybaO	468383	459	putative DNA-binding transcriptional regulator	856	b0447.fasta
b0448	mdlA	468871	1773	putative multidrug ABC transporter ATPase	2229	b0448.fasta
b0449	mdlB	470636	1782	putative multidrug ABC transporter ATPase	2046	b0449.fasta
b0451	amtB	472966	1287	ammonium transporter	1631	b0451.fasta
b0452	tesB	474301	861	acyl-CoA thioesterase 2	1227	b0452.fasta
b0453	ybaY	475379	573	outer membrane lipoprotein	869	b0453.fasta
b0454	ybaZ	475982	390	excision repair protein, alkyltransferase-like protein ATL	567	b0454.fasta
b0456	ybaA	476672	354	DUF1428 family protein	483	b0456.fasta
b0457	ylaB	477067	1551	putative membrane-anchored cyclic-di-GMP phosphodiesterase	1888	b0457.fasta
b0458	ylaC	478781	471	DUF1449 family inner membrane protein	553	b0458.fasta
b0459	maa	479367	552	maltose O-acetyltransferase	866	b0459.fasta
b0460	hha	480090	219	modulator of gene expression, with H-NS	236	b0460.fasta
b0461	tomB	480334	375	Hha toxicity attenuator; conjugation-related protein	418	b0461.fasta
b0462	acrB	481254	3150	multidrug efflux system protein	2994	b0462.fasta
b0463	acrA	484426	1194	multidrug efflux system	1395	b0463.fasta
b0464	acrR	485761	648	transcriptional repressor	1288	b0464.fasta
b0465	mscK	486536	3363	mechanosensitive channel protein, intermediate conductance, K+ regulated	2983	b0465.fasta
NCTC1212903503		489753	771	hypothetical protein	25	NCTC12129_03503.fasta
b0467	priC	490285	528	primosomal replication protein N''	821	b0467.fasta
b0468	ybaN	490882	378	DUF454 family inner membrane protein	544	b0468.fasta
b0469	apt	491412	552	adenine phosphoribosyltransferase	822	b0469.fasta
b0470	dnaX	492092	1932	DNA polymerase III/DNA elongation factor III, tau and gamma subunits	2011	b0470.fasta
b0471	ybaB	494076	330	DNA-binding protein, putative nucleoid-associated protein	475	b0471.fasta
b0472	recR	494405	606	gap repair protein	867	b0472.fasta
b0473	htpG	495120	1875	protein refolding molecular co-chaperone Hsp90, Hsp70-dependent; heat-shock protein; ATPase	2212	b0473.fasta
b0474	adk	497175	645	adenylate kinase	837	b0474.fasta
b0475	hemH	498055	963	ferrochelatase	1302	b0475.fasta
b0477	gsk	500125	1305	inosine/guanosine kinase	1734	b0477.fasta
b0478	ybaL	501562	1677	inner membrane putative NAD(P)-binding transporter	1995	b0478.fasta
b0481	ybaK	506603	480	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase	773	b0481.fasta
b0482	ybaP	507286	795	TraB family protein	1115	b0482.fasta
b0484	copA	508875	2505	copper transporter	2982	b0484.fasta
b0485	glsA	511641	933	glutaminase 1	1226	b0485.fasta
b0486	ybaT	512576	1293	putative amino acid transporter	1548	b0486.fasta
b0487	cueR	513993	408	copper-responsive regulon transcriptional regulator	531	b0487.fasta
b0489	qmcA	514856	918	PHB domain membrane-anchored putative protease	1080	b0489.fasta
b0490	fetA	515919	678	iron export ABC transporter ATPase; peroxide resistance protein	888	b0490.fasta
b0491	fetB	516583	780	iron export ABC transporter permease; peroxide resistance protein	1017	b0491.fasta
b0492	ybbN	517425	855	DnaK co-chaperone, thioredoxin-like protein	1335	b0492.fasta
b0493	ybbO	518340	810	putative oxidoreductase	1245	b0493.fasta
b0494	tesA	519139	627	acyl-CoA thioesterase 1 and protease I and lysophospholipase L1	784	b0494.fasta
b0495	ybbA	519733	687	putative ABC transporter ATPase	1178	b0495.fasta
b0496	ybbP	520416	2415	putative ABC transporter permease	3153	b0496.fasta
b0503	mnmH	530132	1095	tRNA 2-selenouridine synthase, selenophosphate-dependent	1383	b0503.fasta
NCTC1212903460		533418	1206	cysteine desulfurase CsdA	1736	NCTC12129_03460.fasta
b0521	ybcF	550439	894	putative carbonate kinase	1479	b0521.fasta
b0522	purK	551527	1068	N5-carboxyaminoimidazole ribonucleotide synthase	1415	b0522.fasta
b0523	purE	552591	510	N5-carboxyaminoimidazole ribonucleotide mutase	740	b0523.fasta
b0524	lpxH	553218	723	UDP-2,3-diacylglucosamine pyrophosphohydrolase	1178	b0524.fasta
b0526	cysS	554611	1386	cysteinyl-tRNA synthetase	1775	b0526.fasta
b0528	ybcJ	556661	213	ribosome-associated protein; putative RNA-binding protein	336	b0528.fasta
b0529	folD	556875	867	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	1080	b0529.fasta
b0571	cusR	594760	684	response regulator in two-component regulatory system with CusS	870	b0571.fasta
b0577	ybdG	603416	1248	mechanosensitive channel protein, miniconductance	1310	b0577.fasta
b0578	nfsB	604771	654	dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive	1316	b0578.fasta
b0580	ybdJ	605951	249	DUF1158 family putative inner membrane protein	466	b0580.fasta
b0592	fepB	623554	957	ferrienterobactin ABC transporter periplasmic binding protein	1309	b0592.fasta
b0593	entC	624885	1176	isochorismate synthase 1	1714	b0593.fasta
b0594	entE	626070	1611	2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex	1988	b0594.fasta
b0596	entA	628551	747	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	1179	b0596.fasta
b0597	entH	629300	414	enterobactin synthesis proofreading thioesterase	765	b0597.fasta
b0599	ybdH	632389	1089	putative oxidoreductase	1562	b0599.fasta
